id,name,bio,terms
"{'bioguide': 'W000178', 'govtrack': 411351, 'icpsr_prez': 99869}","{'first': 'George', 'last': 'Washington'}","{'birthday': '1732-02-22', 'gender': 'M'}","[{'type': 'prez', 'start': '1789-04-30', 'end': '1793-03-04', 'party': 'no party', 'how': 'election'}, {'type': 'prez', 'start': '1793-03-04', 'end': '1797-03-04', 'party': 'no party', 'how': 'election'}]"
"{'bioguide': 'A000039', 'govtrack': 400699, 'icpsr_prez': 99870}","{'first': 'John', 'last': 'Adams'}","{'birthday': '1735-10-19', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1789-04-21', 'end': '1793-03-04', 'party': 'Federalist', 'how': 'election'}, {'type': 'viceprez', 'start': '1793-03-04', 'end': '1797-03-04', 'party': 'Federalist', 'how': 'election'}, {'type': 'prez', 'start': '1797-03-04', 'end': '1801-03-04', 'party': 'Federalist', 'how': 'election'}]"
"{'bioguide': 'J000069', 'govtrack': 405974, 'icpsr_prez': 99871}","{'first': 'Thomas', 'last': 'Jefferson'}","{'birthday': '1743-04-13', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1797-03-04', 'end': '1801-03-04', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'prez', 'start': '1801-03-04', 'end': '1805-03-04', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'prez', 'start': '1805-03-04', 'end': '1809-03-04', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'B001133', 'govtrack': 402077, 'icpsr': 1302}","{'first': 'Aaron', 'last': 'Burr', 'suffix': 'Jr.'}","{'birthday': '1756-02-06', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1801-03-04', 'end': '1805-03-04', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'C000527', 'govtrack': 412587}","{'first': 'George', 'last': 'Clinton'}","{'birthday': '1739-07-26', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1805-03-04', 'end': '1809-03-04', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '1809-03-04', 'end': '1812-04-20', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'G000139', 'govtrack': 404507, 'icpsr': 3541}","{'first': 'Elbridge', 'last': 'Gerry'}","{'birthday': '1744-07-17', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1813-03-04', 'end': '1814-11-23', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'M000043', 'govtrack': 407071, 'icpsr': 5903, 'icpsr_prez': 99872}","{'first': 'James', 'last': 'Madison'}","{'birthday': '1751-03-16', 'gender': 'M'}","[{'type': 'prez', 'start': '1809-03-04', 'end': '1813-03-04', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'prez', 'start': '1813-03-04', 'end': '1817-03-04', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'T000306', 'govtrack': 412588}","{'first': 'Daniel', 'middle': 'D.', 'last': 'Tompkins'}","{'birthday': '1774-06-21', 'gender': 'M'}","[{'type': 'viceprez', 'start': '1817-03-04', 'end': '1821-03-05', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'viceprez', 'start': '1821-03-05', 'end': '1825-03-04', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'M000858', 'govtrack': 407829, 'icpsr': 6594, 'icpsr_prez': 99873}","{'first': 'James', 'last': 'Monroe'}","{'birthday': '1758-04-28', 'gender': 'M'}","[{'type': 'prez', 'start': '1817-03-04', 'end': '1821-03-05', 'party': 'Democratic-Republican', 'how': 'election'}, {'type': 'prez', 'start': '1821-03-05', 'end': '1825-03-04', 'party': 'Democratic-Republican', 'how': 'election'}]"
"{'bioguide': 'A000041', 'govtrack': 400702, 'icpsr': 34, 'icpsr_prez': 99874}","{'first': 'John', 'middle': 'Quincy', 'last': 'Adams'}","{'birthday': '1767-07-11', 'gender': 'M'}","[{'type': 'prez', 'start': '1825-03-04', 'end': '1829-03-04', 'party': 'Democratic-Republican', 'how': 'election'}]"
