full_name,birthdate,type,start_term,end_term,age_start,age_end,duration_years_months_days,total_duration_years
George Washington,1732-02-22,prez,1789-04-30,1793-03-04,57,61,"3 years, 10 months, 4 days",3.85
George Washington,1732-02-22,prez,1793-03-04,1797-03-04,61,65,"4 years, 0 months, 0 days",4.0
John Adams,1735-10-19,viceprez,1789-04-21,1793-03-04,53,57,"3 years, 10 months, 11 days",3.87
John Adams,1735-10-19,viceprez,1793-03-04,1797-03-04,57,61,"4 years, 0 months, 0 days",4.0
John Adams,1735-10-19,prez,1797-03-04,1801-03-04,61,65,"4 years, 0 months, 0 days",4.0
Thomas Jefferson,1743-04-13,viceprez,1797-03-04,1801-03-04,53,57,"4 years, 0 months, 0 days",4.0
Thomas Jefferson,1743-04-13,prez,1801-03-04,1805-03-04,57,61,"4 years, 0 months, 0 days",4.0
Thomas Jefferson,1743-04-13,prez,1805-03-04,1809-03-04,61,65,"4 years, 0 months, 0 days",4.0
Aaron Burr Jr.,1756-02-06,viceprez,1801-03-04,1805-03-04,45,49,"4 years, 0 months, 0 days",4.0
George Clinton,1739-07-26,viceprez,1805-03-04,1809-03-04,65,69,"4 years, 0 months, 0 days",4.0
George Clinton,1739-07-26,viceprez,1809-03-04,1812-04-20,69,72,"3 years, 1 month, 16 days",3.13
Elbridge Gerry,1744-07-17,viceprez,1813-03-04,1814-11-23,68,70,"1 year, 8 months, 19 days",1.72
James Madison,1751-03-16,prez,1809-03-04,1813-03-04,57,61,"4 years, 0 months, 0 days",4.0
James Madison,1751-03-16,prez,1813-03-04,1817-03-04,61,65,"4 years, 0 months, 0 days",4.0
Daniel D. Tompkins,1774-06-21,viceprez,1817-03-04,1821-03-05,42,46,"4 years, 0 months, 1 day",4.01
Daniel D. Tompkins,1774-06-21,viceprez,1821-03-05,1825-03-04,46,50,"3 years, 11 months, 27 days",4.0
James Monroe,1758-04-28,prez,1817-03-04,1821-03-05,58,62,"4 years, 0 months, 1 day",4.01
James Monroe,1758-04-28,prez,1821-03-05,1825-03-04,62,66,"3 years, 11 months, 27 days",4.0
John Quincy Adams,1767-07-11,prez,1825-03-04,1829-03-04,57,61,"4 years, 0 months, 0 days",4.0
John Caldwell Calhoun,1782-03-18,viceprez,1825-03-04,1829-03-04,42,46,"4 years, 0 months, 0 days",4.0
John Caldwell Calhoun,1782-03-18,viceprez,1829-03-04,1832-12-28,46,50,"3 years, 9 months, 24 days",3.82
Andrew Jackson,1767-03-15,prez,1829-03-04,1833-03-04,61,65,"4 years, 0 months, 0 days",4.0
Andrew Jackson,1767-03-15,prez,1833-03-04,1837-03-04,65,69,"4 years, 0 months, 0 days",4.0
Richard Mentor Johnson,1780-10-17,viceprez,1837-03-04,1841-03-04,56,60,"4 years, 0 months, 0 days",4.0
Martin Van Buren,1782-12-05,viceprez,1833-03-04,1837-03-04,50,54,"4 years, 0 months, 0 days",4.0
Martin Van Buren,1782-12-05,prez,1837-03-04,1841-03-04,54,58,"4 years, 0 months, 0 days",4.0
William Henry Harrison,1773-02-09,prez,1841-03-04,1841-04-04,68,68,"0 years, 1 month, 0 days",0.08
John Tyler,1790-03-29,viceprez,1841-03-04,1841-04-04,50,51,"0 years, 1 month, 0 days",0.08
John Tyler,1790-03-29,prez,1841-04-04,1845-03-04,51,54,"3 years, 11 months, 0 days",3.92
George Mifflin Dallas,1792-07-10,viceprez,1845-03-04,1849-03-04,52,56,"4 years, 0 months, 0 days",4.0
James Knox Polk,1795-11-02,prez,1845-03-04,1849-03-04,49,53,"4 years, 0 months, 0 days",4.0
Zachary Taylor,1784-11-24,prez,1849-03-04,1850-07-09,64,65,"1 year, 4 months, 5 days",1.35
Millard Fillmore,1800-01-07,viceprez,1849-03-04,1850-07-09,49,50,"1 year, 4 months, 5 days",1.35
Millard Fillmore,1800-01-07,prez,1850-07-09,1853-03-04,50,53,"2 years, 7 months, 23 days",2.65
William Rufus de Vane King,1786-04-07,viceprez,1853-03-04,1853-04-18,66,67,"0 years, 1 month, 14 days",0.12
Franklin Pierce,1804-11-23,prez,1853-03-04,1857-03-04,48,52,"4 years, 0 months, 0 days",4.0
John Cabell Breckinridge,1821-01-16,viceprez,1857-03-04,1861-03-04,36,40,"4 years, 0 months, 0 days",4.0
James Buchanan,1791-04-23,prez,1857-03-04,1861-03-04,65,69,"4 years, 0 months, 0 days",4.0
Hannibal Hamlin,1809-08-27,viceprez,1861-03-04,1865-03-04,51,55,"4 years, 0 months, 0 days",4.0
Abraham Lincoln,1809-02-12,prez,1861-03-04,1865-03-04,52,56,"4 years, 0 months, 0 days",4.0
Abraham Lincoln,1809-02-12,prez,1865-03-04,1865-04-15,56,56,"0 years, 1 month, 11 days",0.12
Andrew Johnson,1808-12-29,viceprez,1865-03-04,1865-04-15,56,56,"0 years, 1 month, 11 days",0.12
Andrew Johnson,1808-12-29,prez,1865-04-15,1869-03-04,56,60,"3 years, 10 months, 17 days",3.89
Schuyler Colfax,1823-03-23,viceprez,1869-03-04,1873-03-04,45,49,"4 years, 0 months, 0 days",4.0
Henry Wilson,1812-02-16,viceprez,1873-03-04,1875-11-22,61,63,"2 years, 8 months, 18 days",2.72
Ulysses Simpson Grant,1822-04-27,prez,1869-03-04,1873-03-04,46,50,"4 years, 0 months, 0 days",4.0
Ulysses Simpson Grant,1822-04-27,prez,1873-03-04,1877-03-04,50,54,"4 years, 0 months, 0 days",4.0
William Almon Wheeler,1819-06-30,viceprez,1877-03-04,1881-03-04,57,61,"4 years, 0 months, 0 days",4.0
Rutherford Birchard Hayes,1822-10-04,prez,1877-03-04,1881-03-04,54,58,"4 years, 0 months, 0 days",4.0
James Abram Garfield,1831-11-19,prez,1881-03-04,1881-09-19,49,49,"0 years, 6 months, 15 days",0.55
Chester Alan Arthur,1829-10-05,viceprez,1881-03-04,1881-09-19,51,51,"0 years, 6 months, 15 days",0.55
Chester Alan Arthur,1829-10-05,prez,1881-09-19,1885-03-04,51,55,"3 years, 5 months, 13 days",3.46
Thomas Andrews Hendricks,1819-09-07,viceprez,1885-03-04,1885-11-25,65,66,"0 years, 8 months, 21 days",0.73
Levi Parsons Morton,1824-05-16,viceprez,1889-03-04,1893-03-04,64,68,"4 years, 0 months, 0 days",4.0
Benjamin Harrison,1833-08-20,prez,1889-03-04,1893-03-04,55,59,"4 years, 0 months, 0 days",4.0
Adlai Ewing Stevenson,1835-10-23,viceprez,1893-03-04,1897-03-04,57,61,"4 years, 0 months, 0 days",4.0
Grover Cleveland,1837-03-18,prez,1885-03-04,1889-03-04,47,51,"4 years, 0 months, 0 days",4.0
Grover Cleveland,1837-03-18,prez,1893-03-04,1897-03-04,55,59,"4 years, 0 months, 0 days",4.0
Garret Augustus Hobart,1844-06-03,viceprez,1897-03-04,1899-11-21,52,55,"2 years, 8 months, 17 days",2.72
William McKinley Jr.,1843-01-29,prez,1897-03-04,1901-03-04,54,58,"4 years, 0 months, 0 days",4.0
William McKinley Jr.,1843-01-29,prez,1901-03-04,1901-09-14,58,58,"0 years, 6 months, 10 days",0.53
Charles Warren Fairbanks,1852-05-11,viceprez,1905-03-04,1909-03-04,52,56,"4 years, 0 months, 0 days",4.0
Theodore Roosevelt,1858-10-27,viceprez,1901-03-04,1901-09-14,42,42,"0 years, 6 months, 10 days",0.53
Theodore Roosevelt,1858-10-27,prez,1901-09-14,1905-03-04,42,46,"3 years, 5 months, 18 days",3.47
Theodore Roosevelt,1858-10-27,prez,1905-03-04,1909-03-04,46,50,"4 years, 0 months, 0 days",4.0
James Schoolcraft Sherman,1855-10-24,viceprez,1909-03-04,1912-10-30,53,57,"3 years, 7 months, 26 days",3.66
William Howard Taft,1857-09-15,prez,1909-03-04,1913-03-04,51,55,"4 years, 0 months, 0 days",4.0
Thomas Riley Marshall,1854-03-14,viceprez,1913-03-04,1917-03-04,58,62,"4 years, 0 months, 0 days",4.0
Thomas Riley Marshall,1854-03-14,viceprez,1917-03-04,1921-03-04,62,66,"4 years, 0 months, 0 days",4.0
Woodrow Wilson,1856-12-28,prez,1913-03-04,1917-03-04,56,60,"4 years, 0 months, 0 days",4.0
Woodrow Wilson,1856-12-28,prez,1917-03-04,1921-03-04,60,64,"4 years, 0 months, 0 days",4.0
Warren Gamaliel Harding,1865-11-02,prez,1921-03-04,1923-08-02,55,57,"2 years, 4 months, 29 days",2.41
Charles Gates Dawes,1865-08-27,viceprez,1925-03-04,1929-03-04,59,63,"4 years, 0 months, 0 days",4.0
Calvin Coolidge,1872-07-04,viceprez,1921-03-04,1923-08-02,48,51,"2 years, 4 months, 29 days",2.41
Calvin Coolidge,1872-07-04,prez,1923-08-02,1925-03-04,51,52,"1 year, 7 months, 2 days",1.59
Calvin Coolidge,1872-07-04,prez,1925-03-04,1929-03-04,52,56,"4 years, 0 months, 0 days",4.0
Charles Curtis,1860-01-25,viceprez,1929-03-04,1933-03-04,69,73,"4 years, 0 months, 0 days",4.0
Herbert Clark Hoover,1874-08-10,prez,1929-03-04,1933-03-04,54,58,"4 years, 0 months, 0 days",4.0
John Nance Garner,1868-11-22,viceprez,1933-03-04,1937-01-20,64,68,"3 years, 10 months, 16 days",3.88
John Nance Garner,1868-11-22,viceprez,1937-01-20,1941-01-20,68,72,"4 years, 0 months, 0 days",4.0
