full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
Maria  Cantwell,1958-10-13,10-13,F,rep,1993-01-05,1995-01-03,WA,,1.0,Democrat,,Libra,34.0,34.0,36.0,36.0,728.0,1.0,12.0
Amy Jean Klobuchar,1960-05-25,05-25,F,sen,2007-01-04,2013-01-03,MN,1.0,,Democrat,,Gemini,46.0,46.0,52.0,52.0,2191.0,6.0,0.0
Bernard 'Bernie'  Sanders,1941-09-08,09-08,M,rep,1991-01-03,1993-01-03,VT,,0.0,Independent,,Virgo,49.0,49.0,51.0,51.0,731.0,2.0,0.0
Sheldon  Whitehouse,1955-10-20,10-20,M,sen,2007-01-04,2013-01-03,RI,1.0,,Democrat,,Libra,51.0,51.0,57.0,57.0,2191.0,6.0,0.0
John A. Barrasso,1952-07-21,07-21,M,sen,2007-06-25,2013-01-03,WY,1.0,,Republican,appointment,Cancer,54.0,54.0,60.0,60.0,2019.0,5.0,6.0
Roger F. Wicker,1951-07-05,07-05,M,rep,1995-01-04,1997-01-03,MS,,1.0,Republican,,Cancer,43.0,43.0,45.0,45.0,730.0,2.0,0.0
Susan M. Collins,1952-12-07,12-07,F,sen,1997-01-07,2003-01-03,ME,2.0,,Republican,,Sagittarius,44.0,44.0,50.0,50.0,2187.0,5.0,12.0
John  Cornyn,1952-02-02,02-02,M,sen,2002-11-30,2003-01-03,TX,2.0,,Republican,,Aquarius,50.0,50.0,50.0,50.0,34.0,0.0,1.0
Richard J. Durbin,1944-11-21,11-21,M,rep,1983-01-03,1985-01-03,IL,,20.0,Democrat,,Scorpio,38.0,38.0,40.0,40.0,731.0,2.0,0.0
Lindsey O. Graham,1955-07-09,07-09,M,rep,1995-01-04,1997-01-03,SC,,3.0,Republican,,Cancer,39.0,39.0,41.0,41.0,730.0,2.0,0.0
Mitch  McConnell,1942-02-20,02-20,M,sen,1985-01-03,1991-01-03,KY,2.0,,Republican,,Pisces,42.0,42.0,48.0,48.0,2191.0,6.0,0.0
Jeff  Merkley,1956-10-24,10-24,M,sen,2009-01-06,2015-01-03,OR,2.0,,Democrat,,Scorpio,52.0,52.0,58.0,58.0,2188.0,5.0,12.0
John 'Jack' F. Reed,1949-11-12,11-12,M,rep,1991-01-03,1993-01-03,RI,,2.0,Democrat,,Scorpio,41.0,41.0,43.0,43.0,731.0,2.0,0.0
James E. Risch,1943-05-03,05-03,M,sen,2009-01-06,2015-01-03,ID,2.0,,Republican,,Taurus,65.0,65.0,71.0,71.0,2188.0,5.0,12.0
Jeanne  Shaheen,1947-01-28,01-28,F,sen,2009-01-06,2015-01-03,NH,2.0,,Democrat,,Aquarius,61.0,61.0,67.0,67.0,2188.0,5.0,12.0
Mark R. Warner,1954-12-15,12-15,M,sen,2009-01-06,2015-01-03,VA,2.0,,Democrat,,Sagittarius,54.0,54.0,60.0,60.0,2188.0,5.0,12.0
Kirsten E. Gillibrand,1966-12-09,12-09,F,rep,2007-01-04,2009-01-03,NY,,20.0,Democrat,,Sagittarius,40.0,40.0,42.0,42.0,730.0,2.0,0.0
Christopher Andrew Coons,1963-09-09,09-09,M,sen,2010-11-15,2015-01-03,DE,2.0,,Democrat,,Virgo,47.0,47.0,51.0,51.0,1510.0,4.0,1.0
